,District,Cluster0,Cluster1
0,BUNDI,0,13
1,JAISALMER,1,12
2,BHILWARA,0,13
3,LUDHIANA,3,14
4,GURDASPUR,6,7
5,TONK,2,11
6,CHITTORGRAH,0,13
7,SHAHEED BHAGAT SINGH NAGAR,2,4
8,KARNAL,2,11
9,JALANDHAR,11,4
10,BIKANER,7,3
11,UDAIPUR,10,3
12,ALWAR,9,4
13,ROHTAK,9,4
14,HAMUNANGARH,0,13
15,PATIALA,1,12
16,CHURU,2,11
17,JALOR,9,4
18,JODHPUR,3,14
19,SIKAR,9,4
20,BARMER,11,2
21,AJMER ,1,12
22,FAZILKA,2,1
23,BARNALA,2,11
24,FARIDABAD,11,1
25,MAHENDRAGARH,2,11
26,SAHIBZADA AJIT SINGH NAGAR,1,7
27,AMRITSAR,7,9
28,KURUKSHETRA,0,13
29,RAJSAMAND,0,13
30,NUH,2,7
31,JHALAWAR,0,13
32,KOTA,3,18
33,PANCHKULA,8,5
34,YAMUNANAGAR,0,13
35,SRI GANGANAGAR,0,13
36,KAPURTHALA,4,9
37,SANGRUR,4,9
38,NAGUAR,3,10
39,SIROHI,5,8
40,KAITHAL,2,11
41,PRATAPGARH,1,5
42,DAUSA,8,5
43,JHUNJHUNUN,9,4
44,JHAJJAR,8,4
45,PANIPAT,1,9
46,TARN TARAN,2,11
47,MUKTSAR,9,4
48,FATEGARH SAHIB,4,9
49,DHAULPUR ,0,13
50,FATEHABAD,1,11
51,DUNGAPUR,9,4
52,PALWAL,4,4
53,BANASWARA,4,7
54,PATHANKOT,1,3
55,GURUGRAM,0,13
56,JIND,2,11
57,BATHINDA,0,13
58,JAIPUR,25,15
59,RUPNAGAR,2,11
60,FARIDKOT,1,12
61,FIROZPUR,4,0
62,BHARATPUR,2,11
63,MANSA,6,7
64,AMBALA,9,0
65,BHIWANI,8,2
66,HISAR,1,13
67,PALI,6,6
68,REWARI,10,3
69,BARAN,0,13
70,MOGA,1,12
71,HOSHIARPUR,2,11
72,KARAULI,8,5
73,SIRSA,1,12
74,SAWAI MADHOPUR,3,10
75,SONIPAT,0,13
